,km,potencia,gps,precio,antiguedad,fecha_registro_MES,fecha_venta_MES,modelo_318,modelo_320,modelo_520,modelo_Others,color_Unknown,color_black,color_blue,color_grey,color_white,tipo_coche_Unknown,tipo_coche_estate,tipo_coche_hatchback,tipo_coche_sedan,tipo_coche_suv,volante_regulable_False,volante_regulable_True,aire_acondicionado_False,aire_acondicionado_True,aire_acondicionado_Unknown,camara_trasera_False,camara_trasera_True,asientos_traseros_plegables_False,asientos_traseros_plegables_Unknown,elevalunas_electrico_False,elevalunas_electrico_True,bluetooth_False,bluetooth_True,bluetooth_Unknown,alerta_lim_velocidad_False,alerta_lim_velocidad_True,alerta_lim_velocidad_Unknown
0,140411.0,100.0,True,11300.0,2161.0,2.0,1.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,True
1,183297.0,120.0,True,10200.0,2132.0,4.0,2.0,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False,True,False,True,False,False,False,True
2,132025.0,135.0,True,21700.0,1461.0,3.0,3.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,True,False,False,False,False,True
3,77061.0,135.0,True,36300.0,943.0,8.0,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False
4,174631.0,120.0,True,10500.0,3377.0,1.0,4.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False
5,208945.0,130.0,True,8300.0,3652.0,4.0,4.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False
6,205474.0,145.0,True,11000.0,3257.0,5.0,4.0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False
7,90401.0,135.0,True,26300.0,1308.0,10.0,5.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False
8,64832.0,135.0,True,27500.0,1522.0,4.0,6.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False
9,240788.0,120.0,True,5500.0,3438.0,1.0,6.0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False,True,False
10,17267.0,110.0,True,24200.0,852.0,3.0,7.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False
11,194192.0,120.0,True,11800.0,3652.0,7.0,7.0,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
12,147180.0,100.0,True,8400.0,2252.0,5.0,7.0,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False
13,104433.0,120.0,True,7500.0,3774.0,3.0,7.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False
14,77334.0,135.0,True,23800.0,1642.0,1.0,7.0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False
15,55329.0,135.0,False,26500.0,1522.0,3.0,5.0,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False
16,14041.0,140.0,True,27700.0,792.0,7.0,9.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False
17,329173.0,110.0,True,2300.0,5144.0,7.0,8.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,True,False,False,True,False,False
18,181644.0,135.0,True,19000.0,1341.0,5.0,1.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,False
19,199614.0,120.0,True,16100.0,1553.0,11.0,2.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,True,False,True,False
20,27786.0,140.0,True,26200.0,884.0,9.0,2.0,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False
21,80165.0,135.0,False,19500.0,1216.0,11.0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False
22,42077.0,135.0,True,22400.0,1430.0,4.0,3.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,True,False,False
23,92527.0,230.0,True,32000.0,2191.0,3.0,3.0,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False
24,97806.0,230.0,True,31500.0,943.0,8.0,3.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
25,141346.0,230.0,True,39900.0,2160.0,4.0,3.0,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False
26,220101.0,130.0,True,8900.0,2557.0,3.0,3.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False
27,64386.0,135.0,True,23800.0,1430.0,4.0,3.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False
28,152383.0,135.0,True,16900.0,1430.0,4.0,3.0,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,True,False,False
29,69768.0,230.0,True,36900.0,2282.0,1.0,4.0,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False
30,193330.0,120.0,True,23000.0,1339.0,8.0,4.0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,False,False,True,False
31,96260.0,135.0,True,25300.0,1520.0,2.0,4.0,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,False
